date,temperature,humidity,luminosity
2020-12-03 16:23:41.844,19.3,19.1,45
2020-12-03 16:23:39.567,19.3,19.1,45
2020-12-03 16:23:37.294,19.3,19.1,45
2020-12-03 16:23:35.017,19.3,19.1,45
2020-12-03 16:23:32.739,19.3,19.1,44
2020-12-03 16:23:30.466,19.3,19.0,49
2020-12-03 16:23:28.189,19.3,19.0,49
2020-12-03 16:23:25.911,19.3,19.0,48
2020-12-03 16:23:23.638,19.3,19.0,49
2020-12-03 16:23:21.361,19.3,19.1,49
2020-12-03 16:23:19.084,19.3,19.1,49
2020-12-03 16:23:16.810,19.3,19.1,50
2020-12-03 16:23:14.533,19.3,19.1,50
2020-12-03 16:23:12.260,19.3,19.1,50
2020-12-03 16:23:09.983,19.3,19.1,50
2020-12-03 16:23:07.706,19.3,19.1,50
2020-12-03 16:23:05.432,19.3,19.1,50
2020-12-03 16:23:03.155,19.3,19.1,50
2020-12-03 16:23:00.878,19.3,19.1,50
2020-12-03 16:22:58.605,19.3,19.1,50
2020-12-03 16:22:56.327,19.3,19.2,50
2020-12-03 16:22:54.054,19.3,19.2,50
2020-12-03 16:22:51.777,19.3,19.2,50
2020-12-03 16:22:49.504,19.3,19.2,50
2020-12-03 16:22:47.226,19.3,19.2,50
2020-12-03 16:22:44.949,19.3,19.2,50
2020-12-03 16:22:42.676,19.3,19.2,50
2020-12-03 16:22:40.398,19.3,19.2,50
2020-12-03 16:22:38.125,19.3,19.2,50
2020-12-03 16:22:35.848,19.3,19.3,50
2020-12-03 16:22:33.575,19.3,19.3,50
2020-12-03 16:22:31.297,19.3,19.3,50
2020-12-03 16:22:29.020,19.3,19.4,50
2020-12-03 16:22:26.747,19.3,19.4,50
2020-12-03 16:22:24.470,19.3,19.4,50
2020-12-03 16:22:22.196,19.3,19.4,50
2020-12-03 16:22:19.919,19.3,19.4,50
2020-12-03 16:22:17.642,19.3,19.3,50
2020-12-03 16:22:15.368,19.3,19.3,50
2020-12-03 16:22:13.091,19.3,19.3,50
2020-12-03 16:22:10.818,19.3,19.3,50
2020-12-03 16:22:08.540,19.3,19.2,50
2020-12-03 16:22:06.263,19.2,19.1,49
2020-12-03 16:22:03.990,19.3,19.2,49
2020-12-03 16:22:01.713,19.2,19.1,49
2020-12-03 16:21:59.439,19.2,19.1,49
2020-12-03 16:21:57.162,19.2,19.1,49
2020-12-03 16:21:54.885,19.2,19.1,49
2020-12-03 16:21:52.607,19.2,19.2,49
2020-12-03 16:21:50.334,19.2,19.2,49
2020-12-03 16:21:48.057,19.2,19.2,50
2020-12-03 16:21:45.784,19.2,19.1,50
2020-12-03 16:21:43.506,19.2,19.1,50
2020-12-03 16:21:41.229,19.2,19.1,49
2020-12-03 16:21:38.956,19.2,19.0,49
2020-12-03 16:21:36.679,19.2,19.0,49
2020-12-03 16:21:34.405,19.2,19.0,49
2020-12-03 16:21:32.128,19.2,18.9,49
2020-12-03 16:21:29.851,19.2,18.9,50
2020-12-03 16:21:27.577,19.2,18.9,50
2020-12-03 16:21:25.300,19.2,18.9,50
2020-12-03 16:21:23.023,19.2,18.9,50
2020-12-03 16:21:20.750,19.2,18.8,49
2020-12-03 16:21:18.472,19.2,18.9,49
2020-12-03 16:21:16.195,19.2,18.9,49
2020-12-03 16:21:13.922,19.2,18.9,49
2020-12-03 16:21:11.645,19.2,18.8,49
2020-12-03 16:21:09.367,19.2,18.8,49
2020-12-03 16:21:07.094,19.2,18.8,50
2020-12-03 16:21:04.817,19.2,18.8,50
2020-12-03 16:21:02.539,19.2,18.9,50
2020-12-03 16:21:00.266,19.2,18.9,49
2020-12-03 16:20:57.989,19.2,18.9,49
